external_gene_name,NIH_accession,NIH_description,GO terms
PTP4A1,ptp4a1,protein tyrosine phosphatase 4A1,nucleus
socs1b,LOC111569157,suppressor of cytokine signaling 1-like,
BTBD7,btbd7,BTB (POZ) domain containing 7,morphogenesis of a branching epithelium
ARMC10,,,
CDK15,,,
LBH,lbh,LBH regulator of WNT signaling pathway,
cenpx,,,
SFN,LOC111565932,14-3-3 protein zeta,
FAM149A,,,
si:ch211-195o20.7,si:ch211-195o20.7,cytospin-A,
TAF5L,taf5l,"TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor",nucleus
CD109,LOC111569636,CD109 antigen-like,
CAPN9,capn9,calpain 9,
FAM161B,fam161b,FAM161 centrosomal protein B,
COQ6,coq6,coenzyme Q6 monooxygenase,
JADE2,,,metal ion binding
ltv1,,,ribosomal small subunit biogenesis
CHP1,chp1,calcineurin-like EF-hand protein 1,
ZBTB24,zbtb24,zinc finger and BTB domain containing 24,metal ion binding
txlnbb,txlnbb,taxilin beta b,
ptp4a2a,LOC111581701,protein tyrosine phosphatase type IVA 2-like,
NANOS1,,,metal ion binding
LARP1B,larp1b,La ribonucleoprotein 1B,RNA cap binding
IFNGR1,ifngr1,interferon gamma receptor 1,membrane
cacng3a,cacng3a,"calcium channel, voltage-dependent, gamma subunit 3a",
NKX2-3,LOC111567264,homeobox protein Nkx-2.5-like,DNA binding
SLC25A28,LOC111567263,mitoferrin-2-like,
ENTPD7,LOC111567266,ectonucleoside triphosphate diphosphohydrolase 7-like,
,LOC111568256,guanylin-like,
CHD6,chd6,chromodomain helicase DNA binding protein 6,
fdx2,fdx2,ferredoxin 2,iron-sulfur cluster binding
LRIF1,,,
si:dkey-98f17.3,,,
RHOH,rhoh,ras homolog family member H,
HGSNAT,hgsnat,heparan-alpha-glucosaminide N-acetyltransferase,
TUFM,tufm,"Tu translation elongation factor, mitochondrial",nucleotide binding
cyp2ad2,,,monooxygenase activity
cyp2n13,LOC111564990,cytochrome P450 2J6-like,
,LOC111588756,BTB/POZ domain-containing protein KCTD1-like,membrane
TAF4B,taf4b,"TAF4B RNA polymerase II, TATA box binding protein (TBP)-associated factor",
DDX10,ddx10,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10,
CFAP61,cfap61,cilia and flagella associated protein 61,
si:dkey-15b23.3,kita,"KIT proto-oncogene, receptor tyrosine kinase a",
CPSF2,cpsf2,cleavage and polyadenylation specific factor 2,
NDUFB1,LOC118470651,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1-like,
RIOX1,riox1,ribosomal oxygenase 1,
syt14b,syt14b,synaptotagmin XIVb,
CLVS2,clvs2,clavesin 2,Golgi apparatus
MIA3,,,
ZNF512,znf512,zinc finger protein 512,metal ion binding
akap12b,,,membrane
,LOC129350148,uncharacterized LOC129350148,
chrm5b,chrm5b,"cholinergic receptor, muscarinic 5b",membrane
insm1a,insm1a,insulinoma-associated 1a,
,LOC129350132,uncharacterized LOC129350132,
,LOC129349101,uncharacterized LOC129349101,
,LOC129348933,uncharacterized LOC129348933,
,LOC129348142,uncharacterized LOC129348142,
LPIN2,lpin2,lipin 2,
SNORA73,LOC111566964,small nucleolar RNA SNORA73 family,
SNORA73,LOC111566962,small nucleolar RNA SNORA73 family,RNA processing
SNORA73,LOC111566963,small nucleolar RNA SNORA73 family,RNA processing
SNORA73,LOC111566965,small nucleolar RNA SNORA73 family,
FLVCR1,flvcr1,FLVCR choline and heme transporter 1,membrane
camk2d2,camk2d2,calcium/calmodulin-dependent protein kinase (CaM kinase) II delta 2,
,LOC111569331,dr1-associated corepressor,
marcksl1a,marcksl1a,MARCKS-like 1a,neural retina development
ppp1r13ba,LOC111581699,apoptosis-stimulating of p53 protein 1-like,
si:dkey-33c12.3,neff2,neuronal intermediate filament family member 2,
MRPS26,mrps26,mitochondrial ribosomal protein S26,
loxl3b,loxl3b,lysyl oxidase-like 3b,
AREG,areg,amphiregulin,
DUSP2,dusp2,dual specificity phosphatase 2,nucleus
cnnm4b,LOC111580400,metal transporter CNNM4,
,LOC111580754,granzyme A-like,extracellular region
POLD1,pold1,"polymerase (DNA directed), delta 1, catalytic subunit",
PLPP5,plpp5,phospholipid phosphatase 5,
ADRA2B,adra2b,adrenoceptor alpha 2B,
,LOC111580399,interleukin-1 beta-like,extracellular region
CDC45,cdc45,CDC45 cell division cycle 45 homolog (S. cerevisiae),nucleus
tlr9,tlr9,toll-like receptor 9,membrane
SPATS2,spats2,spermatogenesis associated serine rich 2,
WNT5A,,,
emilin2a,emilin2a,elastin microfibril interfacer 2a,
adcyap1b,adcyap1b,adenylate cyclase activating polypeptide 1b,
CLUL1,yes1,"YES proto-oncogene 1, Src family tyrosine kinase",
tspan2b,LOC111573867,CD9 antigen-like,
CACNA2D3,,,
LRTM1,LOC111570746,leucine-rich repeat and transmembrane domain-containing protein 1,
ngfa,ngfa,nerve growth factor a (beta polypeptide),
KCNA3,LOC111573864,potassium voltage-gated channel subfamily A member 3,
kcna2b,kcna2b,"potassium voltage-gated channel, shaker-related subfamily, member 2b",
KCNA10,kcna10a,"potassium voltage-gated channel, shaker-related subfamily, member 10a",
PYM1,pym1,"PYM homolog 1, exon junction complex associated factor",
MMP19,LOC111572128,matrix metalloproteinase-19-like,metal ion binding
mov10b.1,LOC111580682,putative helicase mov-10-B.2,
vps33a,vps33a,VPS33A core subunit of CORVET and HOPS complexes,
lgi1a,LOC111564392,leucine-rich glioma-inactivated protein 1-like,
,LOC111570532,uncharacterized LOC111570532,
camta1b,LOC111563282,calmodulin-binding transcription activator 1-like,
gtf2h2,gtf2h2,"general transcription factor IIH, polypeptide 2",
c1ql4b,,,
SRGAP3,LOC111579185,SLIT-ROBO Rho GTPase-activating protein 3-like,
GNG4,LOC111573728,guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4,
TMEM130,,,
COL19A1,LOC111562976,collagen alpha-1(XIX) chain,
nptx2b,nptx2b,neuronal pentraxin IIb,
cacng8b,LOC111572536,voltage-dependent calcium channel gamma-8 subunit-like,
FTH1,LOC111566372,"ferritin, middle subunit-like",
TRRAP,trrap,transformation/transcription domain-associated protein,
MARK1,mark1,MAP/microtubule affinity-regulating kinase 1,
oclnb,,,membrane
marveld2b,,,membrane
rph3ab,LOC111580367,rabphilin-3A-like,
si:dkey-46g23.1,LOC111580802,trinucleotide repeat-containing gene 6B protein-like,nucleic acid binding
CARD10,zmp:0000000896,caspase recruitment domain-containing protein 11,
mrtfab,LOC111587474,myocardin-related transcription factor A-like,
SWSAP1,,,
CDK5R1,LOC111566416,cyclin-dependent kinase 5 activator 1-like,
CYB561,LOC111588541,transmembrane ascorbate-dependent reductase CYB561,
rpsa,,,
ubn2b,ubn2b,ubinuclein 2b,
zgc:92140,zgc:92140,uncharacterized LOC111571116,
TRIR,,,3'-5' exonuclease activity
CSDC2,csdc2b,"cold shock domain containing C2, RNA binding b",
COLGALT2,colgalt2b,collagen beta(1-O)galactosyltransferase 2b,
WIPI2,wipi2,"WD repeat domain, phosphoinositide interacting 2",
kat7b,kat7b,K(lysine) acetyltransferase 7b,
OLIG1,,,
OLIG2,olig2,oligodendrocyte lineage transcription factor 2,
slc22a21,LOC111583684,solute carrier family 22 member 4-like,membrane
fstl1b,,,
entpd5a,entpd5a,ectonucleoside triphosphate diphosphohydrolase 5a,
cyp2p6,LOC111564989,cytochrome P450 2J4-like,monooxygenase activity
cyp2p6,LOC111586280,cytochrome P450 2J4-like,
,LOC129349889,cytochrome P450 2D17-like,monooxygenase activity
CHGA,LOC111567268,CREB3 regulatory factor-like,regulation of DNA-templated transcription
SPTLC1,LOC111586282,cytochrome P450 2J4-like,
atpv0e2,atpv0e2,ATPase H+ transporting V0 subunit e2,membrane
NPY2R,,,membrane
MPV17L,,,
NTAN1,ntan1,N-terminal asparagine amidase,protein-N-terminal asparagine amidohydrolase activity
TNIP2,tnip2,TNFAIP3 interacting protein 2,
LGSN,lgsn,"lengsin, lens protein with glutamine synthetase domain",catalytic activity
MAL,LOC111572270,myelin and lymphocyte protein-like,
prkcba,LOC111581447,protein kinase C beta type,
KDR,kdr,kinase insert domain receptor (a type III receptor tyrosine kinase),
VANGL1,LOC111578951,vang-like protein 1,membrane
METTL5,mettl5,"methyltransferase 5, N6-adenosine",
SSB,ssb,small RNA binding exonuclease protection factor La,
KLHL23,klhl23,kelch-like family member 23,
PHGDH,,,
sp5a,sp5a,Sp5 transcription factor a,mesoderm morphogenesis
CCDC173,cfap210,cilia and flagella associated protein 210,
PPIG,ppig,peptidylprolyl isomerase G (cyclophilin G),
GPR161,gpr161a,G protein-coupled receptor 161a,membrane
FASTKD1,fastkd1,FAST kinase domains 1,
bbs5,bbs5,Bardet-Biedl syndrome 5,heart looping
cmss1,cmss1,cms1 ribosomal small subunit homolog,
FILIP1L,LOC111572877,filamin A-interacting protein 1-like,
tmem30c,,,membrane
DCBLD2,,,membrane
FBLN1,fbln1,fibulin 1,extracellular region
STAC,stac,SH3 and cysteine rich domain,
ngb,,,
TMED8,tmed8,transmembrane p24 trafficking protein 8,
IVD,ivd,isovaleryl-CoA dehydrogenase,
krt1-c5,LOC111580401,"keratin, type I cytoskeletal 18-like",
GPAT2,gpat2,"glycerol-3-phosphate acyltransferase 2, mitochondrial",
NPFFR2,npffr2a,neuropeptide FF receptor 2a,
slc4a4a,slc4a4a,solute carrier family 4 member 4a,
slc33a1,slc33a1,solute carrier family 33 member 1,membrane
BCHE,LOC111579784,acetylcholinesterase-like,
rps6kb1b,rps6kb1b,"ribosomal protein S6 kinase b, polypeptide 1b",
HADH,hadh,hydroxyacyl-CoA dehydrogenase,oxidoreductase activity
LEF1,lef1,lymphoid enhancer-binding factor 1,DNA binding
LIMS2,LOC111575387,LIM and senescent cell antigen-like-containing domain protein 1,metal ion binding
ankrd10b,ankrd10b,ankyrin repeat domain 10b,
ube2al,ube2al,"ubiquitin conjugating enzyme E2 A, like",
AGPAT3,agpat3,1-acylglycerol-3-phosphate O-acyltransferase 3,
pdxka,LOC111571837,pyridoxal kinase-like,pyridoxal kinase activity
ARL6,LOC111575383,ADP-ribosylation factor-like protein 6,
,LOC111575391,F-box only protein 47,
CLDN14,LOC111575392,claudin-14,
SLC39A10,slc39a10,solute carrier family 39 member 10,
MRAS,mrasa,muscle RAS oncogene homolog a,
RANBP2,ranbp2,RAN binding protein 2,
SDF2L1,sdf2l1,stromal cell-derived factor 2-like 1,
TMEM132D,LOC111582334,transmembrane protein 132D,membrane
GLT1D1,glt1d1,glycosyltransferase 1 domain containing 1,
SLC15A4,slc15a4,solute carrier family 15 member 4,
lrrtm4l2,,,membrane
vsig8b,vsig8b,V-set and immunoglobulin domain containing 8b,
HTR3B,htr3b,5-hydroxytryptamine (serotonin) receptor 3B,membrane
HTR3A,htr3a,5-hydroxytryptamine (serotonin) receptor 3A,membrane
DOCK5,dock5,dedicator of cytokinesis 5,
rad50,rad50,"RAD50 homolog, double strand break repair protein",metal ion binding
ptger4b,ptger4b,prostaglandin E receptor 4 (subtype EP4) b,membrane
kank1b,LOC111565425,KN motif and ankyrin repeat domain-containing protein 1-like,negative regulation of actin filament polymerization
SHC3,shc3,SHC (Src homology 2 domain containing) transforming protein 3,intracellular signal transduction
F2RL2,LOC111572640,proteinase-activated receptor 3-like,membrane
MIGA2,miga2,mitoguardin 2,membrane
ST6GALNAC4,st6galnac4,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4",membrane
TMEM174,tmem174,transmembrane protein 174,membrane
st6galnac6,st6galnac6,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6",
SPOUT1,spout1,SPOUT domain containing methyltransferase 1,
ch25hl2,,,iron ion binding
DCK,dck,deoxycytidine kinase,
mob1bb,LOC111565433,MOB kinase activator 1B,
TNC,tnca,tenascin Ca,
,actb2,"actin, beta 2",
zbtb16a,zbtb16a,zinc finger and BTB domain containing 16a,
ncam1a,,,membrane
mthfd1b,mthfd1b,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1b,
fscn1a,fscn1a,fascin actin-bundling protein 1a,
CCDC97,ccdc97,coiled-coil domain containing 97,
tspan35,tspan34b,tetraspanin 34b,membrane
ZNF653,znf653,zinc finger protein 653,
TNRC18,tnrc18,trinucleotide repeat containing 18,chromatin binding
ALDH16A1,aldh16a1,"aldehyde dehydrogenase 16 family, member A1",oxidoreductase activity
si:dkeyp-69e1.8,si:dkeyp-69e1.8,uncharacterized LOC111568355,
si:dkey-4e7.3,si:dkey-4e7.3,uncharacterized LOC111578812,
COA5,LOC111565273,cytochrome c oxidase assembly factor 5,
hmgxb4a,hmgxb4a,HMG box domain containing 4a,
cdc42ep1b,,,cytoplasm
MGAT4A,mgat4a,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",metal ion binding
EPOR,,,membrane
aoc2,aoc2,amine oxidase copper containing 2,oxidoreductase activity
POLR3H,polr3h,polymerase (RNA) III (DNA directed) polypeptide H,
,LOC111574529,T-cell surface glycoprotein CD3 epsilon chain,
,LOC111575908,lymphocyte antigen 75-like,
TUBD1,tubd1,"tubulin, delta 1",nucleus
PCSK7,pcsk7,proprotein convertase subtilisin/kexin type 7,
TEX30,tex30,testis expressed 30,
,LOC111575677,melanoregulin-like,
CPO,LOC111575680,carboxypeptidase O-like,
WNT10A,wnt10a,"wingless-type MMTV integration site family, member 10a",extracellular region
,sona,SON DNA and RNA binding protein a,
,LOC111562388,"neuroligin-4, X-linked-like",
NCOA5,ncoa5,nuclear receptor coactivator 5,nucleic acid binding
EIF6,eif6,eukaryotic translation initiation factor 6,
CD109,,,
,map1lc3a,microtubule-associated protein 1 light chain 3 alpha,
RASSF1,LOC111579908,ras association domain-containing protein 1-like,
,LOC111580965,"FAST kinase domain-containing protein 3, mitochondrial-like",
wnt6b,wnt6b,"wingless-type MMTV integration site family, member 6b",
tusc2a,tusc2a,"tumor suppressor 2, mitochondrial calcium regulator a",
A3GALT2,LOC111588016,"alpha-1,3-galactosyltransferase 2",
DYNLRB1,dynlrb1,"dynein, light chain, roadblock-type 1",
capza1a,capza1a,capping actin protein of muscle Z-line subunit alpha 1a,cytoplasm
als2a,LOC111584968,alsin-like,guanyl-nucleotide exchange factor activity
skib,skib,v-ski avian sarcoma viral oncogene homolog b,heart looping
FAM83C,fam83c,family with sequence similarity 83 member C,
,si:dkey-264d12.5,coiled-coil domain-containing protein 30,
EMP3,emp3a,epithelial membrane protein 3a (MAM blood group),
FAM83E,fam83e,family with sequence similarity 83 member E,
plch2b,,,metal ion binding
ttyh2l,LOC111564645,protein tweety homolog 2-like,
PRRG2,,,membrane
ADSL,adsl,adenylosuccinate lyase,
si:dkey-183j2.10,si:dkey-183j2.10,glutamate receptor U1,membrane
brpf3a,,,metal ion binding
UTP3,utp3,UTP3 small subunit processome component,
PPCS,ppcs,phosphopantothenoylcysteine synthetase,catalytic activity
FOXJ3,foxj3,forkhead box J3,DNA binding
lgalsla,LOC111572271,galectin-related protein-like,
SLC29A2,LOC111572258,equilibrative nucleoside transporter 2-like,
,LOC111567269,B-cell receptor CD22-like,membrane
MRPL4,mrpl4,mitochondrial ribosomal protein L4,
si:dkey-110g7.8,si:dkey-110g7.8,GTPase IMAP family member 8,
atf4b,LOC111579423,cyclic AMP-dependent transcription factor ATF-4-like,
sdk2a,sdk2a,sidekick cell adhesion molecule 2a,
B9D2,b9d2,B9 domain containing 2,
,LOC129350618,uncharacterized LOC129350618,
,LOC111585880,microtubule-associated tumor suppressor 1 homolog,
,LOC129347578,uncharacterized LOC129347578,
FGL1,LOC111585881,fibrinogen-like protein 1,
MCUB,LOC111579217,"calcium uniporter protein, mitochondrial-like",
casp6a,LOC111578659,caspase-6,nucleus
,LOC129349294,uncharacterized LOC129349294,
FAM161A,,,membrane
peli1a,LOC111572257,E3 ubiquitin-protein ligase pellino homolog 1-like,
U6,LOC111571429,U6 spliceosomal RNA,spliceosomal tri-snRNP complex assembly
mirlet7j,,,
PATL1,patl1,"PAT1 homolog 1, processing body mRNA decay factor",nuclear speck
PRELID3B,prelid3b,PRELI domain containing 3,
MYG1,myg1,myg1 exonuclease,
twf2a,,,cytoplasm
fat1a,fat1a,FAT atypical cadherin 1a,
,LOC111584700,uncharacterized LOC111584700,
,LOC111575779,uncharacterized LOC111575779,
,LOC111571037,uncharacterized LOC111571037,
ELL,,,nucleus
ptbp1a,ptbp1a,polypyrimidine tract binding protein 1a,
si:ch211-131k2.2,si:ch211-131k2.2,uncharacterized si:ch211-131k2.2,
,pvalb3,parvalbumin 3,
NLRC3,nlrc3,"NLR family, CARD domain containing 3",membrane
shisa8b,shisa8b,shisa family member 8b,
LCMT1,lcmt1,leucine carboxyl methyltransferase 1,
PSMC5,psmc5,"proteasome 26S subunit, ATPase 5",
ING1,ing1,"inhibitor of growth family, member 1",
CREG2,,,
NALF1,LOC111566603,NALCN channel auxiliary factor 1,
CCKBR,cckbrb,cholecystokinin B receptor b,
zgc:113337,zgc:113337,uncharacterized LOC111578111,membrane
st8sia6,si:ch211-214p13.9,cell surface glycoprotein CD200 receptor 1-A,membrane
maats1,cfap91,cilia and flagella associated protein 91,cytoplasm
NR1I2,nr1i2,"nuclear receptor subfamily 1, group I, member 2",
GSK3B,gsk3ba,"glycogen synthase kinase 3 beta, genome duplicate a",
PTCH2,,,
E2F4,e2f4,E2F transcription factor 4,
BSCL2,LOC111563348,seipin-like,
fzd9b,fzd9b,frizzled class receptor 9b,membrane
lpar5b,LOC111569709,lysophosphatidic acid receptor 6-like,membrane
SEMA3D,sema3d,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D",
,LOC129349233,uncharacterized LOC129349233,
ces2b,,,hydrolase activity
,LOC129349253,uncharacterized LOC129349253,
galnt8a.1,LOC111564149,probable polypeptide N-acetylgalactosaminyltransferase 8,membrane
cax2,LOC111586636,uncharacterized LOC111586636,membrane
si:ch211-132b12.2,,,membrane
VWA5A,LOC111589129,von Willebrand factor A domain-containing protein 5A-like,
magi2b,,,membrane
si:dkey-243k1.3,si:dkey-243k1.3,endonuclease domain-containing 1 protein-like,
si:ch211-210b2.3,,,
PRDX3,,,
rbm39b,,,nucleus
mpp3b,LOC111586950,MAGUK p55 subfamily member 3-like,
SZT2,,,peroxisome
CHRD,chrd,chordin,extracellular region
BAZ2A,baz2a,"bromodomain adjacent to zinc finger domain, 2A",metal ion binding
chmp6a,LOC111564660,charged multivesicular body protein 6-like,
prr12b,prr12b,proline rich 12b,
FAM83G,LOC111565355,uncharacterized LOC111565355,
grapa,,,
col5a3a,col5a3a,"collagen, type V, alpha 3a",extracellular matrix structural constituent
PCBP4,LOC111586668,poly(rC)-binding protein 4-like,nucleic acid binding
cyp3a65,LOC111574386,cytochrome P450 3A27-like,
GYS1,gys1,glycogen synthase 1 (muscle),
,LOC111586871,synaptonemal complex protein 2-like,
,LOC111578618,uncharacterized LOC111578618,
oct2,slc22a3,solute carrier family 22 member 3,membrane
dusp23a,dusp23b,dual specificity phosphatase 23b,
nusap1,nusap1,nucleolar and spindle associated protein 1,
OIP5,oip5,opa interacting protein 5,
NDUFAF1,ndufaf1,NADH:ubiquinone oxidoreductase complex assembly factor 1,mitochondrion
asmt2,asmt2,acetylserotonin O-methyltransferase 2,methyltransferase activity
MAP4K5,map4k5,mitogen-activated protein kinase kinase kinase kinase 5,
FRA10AC1,fra10ac1,FRA10A associated CGG repeat 1,
snu13a,snu13b,"SNU13 homolog, small nuclear ribonucleoprotein b (U4/U6.U5)",
CRYM,,,
REXO4,rexo4,"REX4 homolog, 3'-5' exonuclease",
PIGP,pigp,"phosphatidylinositol glycan anchor biosynthesis, class P",regulation of JNK cascade
RAC1,LOC111575366,ras-related C3 botulinum toxin substrate 1,
CYTH3,,,
HYI,,,isomerase activity
srd5a3,srd5a3,steroid 5 alpha-reductase 3,oxidoreductase activity
cyp2p6,LOC111564682,cytochrome P450 2J4-like,monooxygenase activity
DHCR24,dhcr24,24-dehydrocholesterol reductase,
TMEM165,tmem165,transmembrane protein 165,
clocka,clocka,clock circadian regulator a,
,il23r,interleukin 23 receptor,
IL12RB2,il12rb2,"interleukin 12 receptor, beta 2a",
serbp1a,serbp1a,SERPINE1 mRNA binding protein 1a,
BSND,bsnd,barttin CLCNK type accessory subunit beta,
HSD17B7,hsd17b7,hydroxysteroid (17-beta) dehydrogenase 7,
CD200,si:ch211-214p13.3,nectin-3-like protein,membrane
gja8b,LOC111578959,gap junction alpha-8 protein,membrane
B3GALT1,b3galt1b,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1b",
xirp2b,,,actin binding
CSRNP3,csrnp3,cysteine-serine-rich nuclear protein 3,
GALNT3,galnt3,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3),membrane
,LOC111581047,NLR family CARD domain-containing protein 3-like,cytoplasm
TBC1D23,tbc1d23,"TBC1 domain family, member 23",
CDKL1,cdkl1,cyclin-dependent kinase-like 1 (CDC2-related kinase),
mtmr7b,mtmr7b,myotubularin related protein 7b,lipid metabolic process
DMAC2L,,,
L2HGDH,l2hgdh,L-2-hydroxyglutarate dehydrogenase,
aspdh,aspdh,aspartate dehydrogenase domain containing,
TMEM86B,tmem86b,transmembrane protein 86B,
HSPBP1,hspbp1,"HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1",
RDH8,,,
ZFYVE26,zfyve26,"zinc finger, FYVE domain containing 26",metal ion binding
baiap2a,baiap2a,BAR/IMD domain containing adaptor protein 2a,membrane
aatka,aatka,apoptosis-associated tyrosine kinase a,
soul5,soul5,heme-binding protein soul5,
rdh8a,rdh8a,retinol dehydrogenase 8a,
nr5a5,nr5a5,"nuclear receptor subfamily 5, group A, member 5",
CAMSAP3,camsap3,"calmodulin regulated spectrin-associated protein family, member 3",
si:ch211-256m1.8,si:ch211-256m1.8,uncharacterized si:ch211-256m1.8,nucleotide binding
BPNT1,,,
,LOC111588770,tubulin monoglycylase TTLL3-like,
XAB2,xab2,XPA binding protein 2,nucleus
RAB7A,,,
FAM107A,nmu,neuromedin U,
EXOC1,,,
RPN1,rpn1,ribophorin I,
b4galnt1a,,,membrane
inavaa,inavaa,innate immunity activator a,
,si:ch211-163l21.11,"inositol 1,4,5-triphosphate receptor associated 2",
RPL10A,rpl10a,ribosomal protein L10a,
LZIC,lzic,leucine zipper and CTNNBIP1 domain containing,
NMNAT1,,,lipid binding
MASP2,masp2,MBL associated serine protease 2,calcium ion binding
PLEKHN1,plekhn1,"pleckstrin homology domain containing, family N member 1",positive regulation of apoptotic process
,LOC111573372,"PPARGC1 and ESRR induced regulator, muscle 1",regulation of DNA-templated transcription
her9,her9,hairy-related 9,
NAA80,naa80,"N-alpha-acetyltransferase 80, NatH catalytic subunit",
fbxl3a,,,
FMNL3,fmnl3,formin-like 3,
MYPN,cracdla,cracd like a,
RPL24,rpl24,ribosomal protein L24,
PCSK9,pcsk9,proprotein convertase subtilisin/kexin type 9,
cnga3a,cnga3a,cyclic nucleotide gated channel subunit alpha 3a,membrane
CEP97,,,
CEP135,cep135,centrosomal protein 135,
CRACD,cracd,capping protein inhibiting regulator of actin dynamics,
TTC21B,ttc21b,tetratricopeptide repeat domain 21B,
chst14,chst14,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14,
AASDH,aasdh,aminoadipate-semialdehyde dehydrogenase,nucleotide binding
ddr2a,ddr2a,discoidin domain receptor tyrosine kinase 2a,membrane
HOOK2,hook2,hook microtubule-tethering protein 2,cytoplasm
dlx3b,dlx3b,distal-less homeobox 3b,
pvalb8,LOC111575367,"parvalbumin, thymic-like",
DOC2A,LOC111574354,double C2-like domain-containing protein alpha,
ADPRH,adprh,ADP-ribosylarginine hydrolase,magnesium ion binding
ATXN2,LOC111568812,ataxin-2-like protein,RNA binding
,mylpfb,"myosin light chain, phosphorylatable, fast skeletal muscle b",
MTO1,mto1,mitochondrial tRNA translation optimization 1,tRNA wobble uridine modification
TCTN1,LOC111568764,tectonic-3,
sult1st6,sult1st6,"sulfotransferase family 1, cytosolic sulfotransferase 6",
atp2a1l,atp2a1l,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1, like",membrane
gata2a,gata2a,GATA binding protein 2a,metal ion binding
ITIH3,LOC111588784,inter-alpha-trypsin inhibitor heavy chain H3-like,
stimate,,,
SFMBT1,sfmbt1,Scm like with four mbt domains 1,regulation of DNA-templated transcription
RIPOR3,ripor3,RIPOR family member 3,
nmur3,nmur3,neuromedin U receptor 3,membrane
lactbl1b,lactbl1b,"lactamase, beta-like 1b",
BLCAP,blcap,bladder cancer associated protein,
ALPL,alpl,"alkaline phosphatase, biomineralization associated",
wt1b,wt1b,WT1 transcription factor b,
,xkr5b,XK related 5b,membrane
BMAL1,,,
hnf4b,hnf4b,"hepatic nuclear factor 4, beta",metal ion binding
furina,furina,furin (paired basic amino acid cleaving enzyme) a,
kif4,kif4,kinesin family member 4,
EIF2B3,eif2b3,"eukaryotic translation initiation factor 2B, subunit 3 gamma",biosynthetic process
zmp:0000000521,LOC111572317,spindlin-Z-like,
PLK3,plk3,polo-like kinase 3 (Drosophila),
SLC7A6,LOC111581465,Y+L amino acid transporter 2,membrane
mgst3b,mgst3b,microsomal glutathione S-transferase 3b,
RSRP1,rsrp1,arginine/serine-rich protein 1,
cx28.6,gjb9a,gap junction protein beta 9a,membrane
SDSL,sdsl,serine dehydratase-like,
PANK2,pank2,pantothenate kinase 2,
VPS39,vps39,VPS39 subunit of HOPS complex,
RIPK2,LOC111581478,receptor-interacting serine/threonine-protein kinase 2,
,LOC111581466,sorting nexin-16-like,cytoplasm
asip2b,asip2b,"agouti signaling protein, nonagouti homolog (mouse) 2b",type 1 melanocortin receptor binding
,LOC111581472,V-type proton ATPase subunit d 2-like,
tecra,tecra,"trans-2,3-enoyl-CoA reductase a",membrane
mtnr1aa,mtnr1aa,melatonin receptor 1A a,
Hist1h2ba,,,DNA binding
cyp4v8,LOC111582916,cytochrome P450 4V2,monooxygenase activity
samd1a,samd1a,sterile alpha motif domain containing 1a,DNA binding
,si:ch211-220m17.5,guanylin family protein,
TNFSF14,tnfsf14,TNF superfamily member 14,
dnajb1a,dnajb1a,DnaJ heat shock protein family (Hsp40) member B1a,
,LOC111580745,"protein PET100 homolog, mitochondrial",
ephb2b,ephb2b,eph receptor B2b,
NOTCH3,notch3,notch receptor 3,
TLR3,tlr3,toll-like receptor 3,membrane
sorbs2a,,,
pdlim3a,pdlim3b,PDZ and LIM domain 3b,
CCT4,cct4,"chaperonin containing TCP1, subunit 4 (delta)",
,LOC111586552,uncharacterized LOC111586552,
mustn1b,,,
CZIB,czib,CXXC motif containing zinc binding protein,
fgd5a,fgd5a,"FYVE, RhoGEF and PH domain containing 5a",metal ion binding
uck2b,uck2b,uridine-cytidine kinase 2b,
UBA3,,,ubiquitin-like modifier activating enzyme activity
aldh9a1b,aldh9a1b,"aldehyde dehydrogenase 9 family, member A1b",
CCDC88C,ccdc88c,coiled-coil domain containing 88C,
zte38,zte38,zebrafish testis-expressed 38,nucleus
PRDX1,prdx1,peroxiredoxin 1,
zgc:153115,zgc:153115,uncharacterized LOC111583441,nucleus
CACYBP,cacybp,calcyclin binding protein,nucleus
MRPS14,mrps14,mitochondrial ribosomal protein S14,cytoplasm
TMEM67,,,membrane
ATG2B,LOC111572680,autophagy-related protein 2 homolog B,membrane
USP34,usp34,ubiquitin specific peptidase 34,cysteine-type deubiquitinase activity
TMF1,tmf1,TATA element modulatory factor 1,Golgi apparatus
